E11,Coding Bootcamp,Lab B,2024-11-05 10:00,2024-11-05 16:00,25,org1
E10,Science Workshop,Lab A,2024-11-01 09:00,2024-11-01 12:00,30,org1
E13,Math Conference,Hall 2,2024-12-01 09:00,2024-12-01 17:00,100,org2
E12,Career Seminar,Room 202,2024-11-10 13:00,2024-11-10 15:00,70,org1
E1,Orientation,Auditorium,2024-09-01 09:00,2024-09-01 11:00,100,org1
E2,Career Fair,Main Hall,2024-09-15 10:00,2024-09-15 16:00,50,org1
E3,Tech Talk,Room 101,2024-09-20 14:00,2024-09-20 16:00,80,org1
E4,Art Exhibition,Gallery,2024-09-25 10:00,2024-09-25 17:00,40,org1
E5,Music Concert,Auditorium,2024-10-01 18:00,2024-10-01 20:00,150,org1
E6,Sports Meet,Stadium,2024-10-10 09:00,2024-10-10 18:00,200,org1
E7,Research Symposium,Conference Center,2024-10-15 08:00,2024-10-15 17:00,60,org1
E8,Book Fair,Library,2024-10-20 10:00,2024-10-20 16:00,120,org1
E9,Charity Run,Sports Field,2024-10-25 07:00,2024-10-25 12:00,300,org1
